month,day,year,time,actual,forecast,previous,datetime
Oct,9,2019, 17:30,2.927,1.413,3.1,2019-10-09 17:30:00
Oct,2,2019, 17:30,3.1,1.567,2.412,2019-10-02 17:30:00
Sep,25,2019, 17:30,2.412,-0.249,1.058,2019-09-25 17:30:00
Sep,18,2019, 17:30,1.058,-2.496,-6.912,2019-09-18 17:30:00
Sep,11,2019, 17:30,-6.912,-2.686,-4.771,2019-09-11 17:30:00
Sep,5,2019, 18:00,-4.771,-2.488,-10.027,2019-09-05 18:00:00
Aug,28,2019, 17:30,-10.027,-2.112,-2.7,2019-08-28 17:30:00
Aug,21,2019, 17:30,-2.7,-1.889,1.58,2019-08-21 17:30:00
Aug,14,2019, 17:30,1.58,-2.775,2.385,2019-08-14 17:30:00
Aug,7,2019, 17:30,2.385,-2.845,-8.496,2019-08-07 17:30:00
Jul,31,2019, 17:30,-8.496,-2.588,-10.835,2019-07-31 17:30:00
Jul,24,2019, 17:30,-10.835,-4.011,-3.116,2019-07-24 17:30:00
Jul,17,2019, 17:30,-3.116,-2.694,-9.499,2019-07-17 17:30:00
Jul,10,2019, 17:30,-9.499,-3.081,-1.085,2019-07-10 17:30:00
Jul,3,2019, 17:30,-1.085,-2.964,-12.788,2019-07-03 17:30:00
Jun,26,2019, 17:30,-12.788,-2.54,-3.106,2019-06-26 17:30:00
Jun,19,2019, 17:30,-3.106,-1.077,2.206,2019-06-19 17:30:00
Jun,12,2019, 17:30,2.206,-0.481,6.771,2019-06-12 17:30:00
Jun,5,2019, 17:30,6.771,-0.849,-0.282,2019-06-05 17:30:00
May,30,2019, 18:00,-0.282,-0.857,4.74,2019-05-30 18:00:00
May,22,2019, 17:30,4.74,-0.599,5.431,2019-05-22 17:30:00
May,15,2019, 17:30,5.431,-0.8,-3.963,2019-05-15 17:30:00
May,8,2019, 17:30,-3.963,1.215,9.934,2019-05-08 17:30:00
May,1,2019, 17:30,9.9,1.485,5.479,2019-05-01 17:30:00
Apr,24,2019, 17:30,5.479,1.255,-1.396,2019-04-24 17:30:00
Apr,17,2019, 17:30,-1.396,-1.2,7.029,2019-04-17 17:30:00
Apr,10,2019, 17:30,7.029,2.294,7.238,2019-04-10 17:30:00
