Year,01,02,03,04,05,06,07,08,09,10,11,12
1992,41.50209126581378,41.66370377074296,41.88996127764383,41.9546062796155,42.01925128158716,42.18086378651634,42.27783128947385,42.407121293417205,42.53641129736055,42.69802380228973,42.7626688042614,42.73034630327557
1993,42.95660381017642,43.1182163151056,43.27982882003478,43.409118823978126,43.473763825949796,43.53840882792148,43.53840882792148,43.66769883186482,43.76466633482232,43.95860134073734,43.99092384172319,43.99092384172319
1994,44.12021384566652,44.28182635059571,44.44343885552489,44.50808385749656,44.5404063584824,44.70201886341158,44.83130886735493,45.02524387326994,45.15453387721329,45.186856378199124,45.25150138017079,45.25150138017079
1995,45.44543638608582,45.63937139200083,45.80098389693001,45.962596401859194,46.0595639048167,46.15653140777421,46.15653140777421,46.285821411717556,46.38278891467506,46.54440141960424,46.51207891861841,46.47975641763257
1996,46.77065892650511,46.93227143143429,47.190851439320966,47.384786445235996,47.48175394819349,47.514076449179335,47.611043952136846,47.70801145509436,47.86962396002354,48.03123646495272,48.128203967910224,48.128203967910224
1997,48.289816472839405,48.451428977768586,48.58071898171193,48.645363983683595,48.61304148269777,48.677686484669444,48.74233148664111,48.83929898959863,48.968588993541964,49.09787899748531,49.065556496499475,49.000911494527806
1998,49.09787899748531,49.19484650044282,49.291814003400326,49.38878150635784,49.48574900931535,49.55039401128702,49.61503901325869,49.67968401523037,49.74432901720204,49.87361902114538,49.87361902114538,49.84129652015955
1999,49.97058652410289,50.03523152607456,50.19684403100375,50.58471404283378,50.58471404283378,50.58471404283378,50.746326547762955,50.8756165517063,51.134196559593,51.231164062550505,51.26348656353634,51.26348656353634
2000,51.42509906846553,51.74832407832389,52.2008390921256,52.23316159311143,52.29780659508311,52.58870910395564,52.71799910789898,52.71799910789898,53.008901616771496,53.10586911972901,53.13819162071485,53.10586911972901
2001,53.46141663057321,53.687674137474076,53.8169641414174,54.043221648318266,54.30180165620495,54.39876915916246,54.237156654233274,54.237156654233274,54.495736662119974,54.30180165620495,54.20483415324745,53.97857664634659
2002,54.107866650289935,54.334124157190786,54.657349167049155,54.98057417690752,54.98057417690752,55.01289667789335,55.07754167986503,55.271476685780044,55.368444188737556,55.46541169169507,55.46541169169507,55.336121687751714
2003,55.594701695638406,56.04721670944011,56.402764220284304,56.27347421634097,56.17650671338345,56.24115171535513,56.30579671732681,56.53205422422766,56.72598923014267,56.661344228171004,56.49973172324182,56.43508672127015
2004,56.72598923014267,57.049214240001035,57.437084251831074,57.63101925774608,57.986566768590286,58.1805017745053,58.0835342715478,58.11585677253363,58.245146776476986,58.56837178633535,58.600694287321176,58.374436780420325
2005,58.503726784363664,58.859274295207875,59.34411180999541,59.76430432281128,59.699659320839615,59.73198182182545,60.02288433069798,60.34610934055634,61.12184936421641,61.25113936815975,60.73397935238637,60.47539934449969
2006,60.96023685928723,61.08952686323057,61.44507437407477,61.994556890833984,62.317781900692346,62.4470719046357,62.641006910550715,62.77029691449406,62.4470719046357,62.091524393791495,61.994556890833984,62.091524393791495
2007,62.28545939970651,62.641006910550715,63.255134429281604,63.67532694209746,64.06319695392752,64.2248094588567,64.19248695787086,64.06319695392752,64.25713195984252,64.38642196378588,64.80661447660174,64.74196947463007
2008,65.09751698547427,65.29145199138928,65.87325700913435,66.29344952195022,66.87525453969526,67.58634956138366,67.9625834728588,67.67879191420316,67.58085473621607,66.8665274644291,65.52579012353661,64.81566477687778
2009,65.11141566089817,65.45080192124946,65.61758602633637,65.78921850657117,65.98832511264392,66.58208945575373,66.47154650238217,66.62766418214376,66.67129955847464,66.73853036052517,66.78798378703351,66.66483505827748
2010,66.90337511555295,66.9208292660853,67.20849952485923,67.33067857858569,67.38530360525175,67.31645667815194,67.33132502860542,67.42861575657278,67.46966533282479,67.55758253550627,67.58731923641324,67.70885184011999
2011,68.04629875041212,68.39732111111829,69.09484068239264,69.55996147157883,69.90193353200897,69.82371307962325,69.88835808159493,70.08972726273667,70.20091666612797,70.04964736151425,69.9879113846313,69.80755182913033
2012,70.1252820138211,70.45109282375833,71.00994886580344,71.23394379763529,71.14667304497353,71.03774621665127,70.91686006296423,71.32897195053364,71.66124726066805,71.6321570097808,71.27790239897602,71.07750289286385
2013,71.29697267455767,71.90657504315054,72.10277262413457,72.02455217174885,72.15836732583021,72.33905010634103,72.368786807248,72.4596130350182,72.54753023769968,72.35262555675507,72.19844722705264,72.19198272685547
2014,72.47221881040268,72.75180844393017,73.24052465883601,73.49231694151567,73.75994724967839,73.90313592904565,73.87307600312883,73.74443244920519,73.80228972596984,73.60900117007454,73.19462670743611,72.76182841923577
2015,72.40466478334227,72.73273816834852,73.18428350712065,73.33943151185267,73.72924087374186,73.99848730695386,74.0036589071116,73.89440885377947,73.77449237512201,73.73990729906717,73.57764834411829,73.31551286112314
2016,73.44189383997777,73.50492271690014,73.83493545196553,74.19985648809563,74.51500087270753,74.77422733061394,74.64784635175931,74.71443070379014,74.9002850844587,74.99757581242606,74.87604320871932,74.90157798449812
2017,75.35635557336884,75.60329948090065,75.66729803285259,75.9009897149802,75.96854374204058,76.04029969422915,75.98567466756309,76.22259859978926,76.64279111260512,76.59236801106724,76.59430736112638,76.54743973469691
2018,76.98153092293668,77.3448358340175,77.52681151456775,77.84745072434724,78.18425118461965,78.31386441357286,78.31935923874046,78.36461074012063,78.45931566800914,78.60347402240596,78.32970243905592,78.06950630611995
2019,78.2243310858421,78.5682424963314,79.02916136038942,79.46422222365878,79.64005662902173,79.65654110452449,79.79488140874389,79.79067948361572,79.85564771059727,80.04538079138412,80.00077574002367,79.9251410877168
2020,80.24739642254559,80.47591650451545,80.2939408239652,79.73605445694967,79.73767058199896,80.19115527083025,80.61264068368554,80.87671551673982,80.99372297030854,81.02863127137326,80.97723849480577,81.05642862222108
2021,81.41456193314414,81.87742014726132,82.47958834062746,83.18324918708909,83.87527393319586,84.68365968285163,85.1061147707365,85.28841367629663,85.52856985862138,86.26519965608858,86.7044624444861,86.98049660290515
2022,87.73878247603287,88.56882430134915,89.79320063869262,90.31197677951529,91.34209488593389,92.63984330051521,92.62853042517018,92.59459179913505,92.80048613041482,93.1896490422843,93.09235831431694,92.7969306553064
2023,93.56394360370028,94.10372937016373,94.42566147998268,94.9192260700364,95.16616997756819,95.4835769372491,95.67169389298665,96.1031992811476,96.3498199636695,96.31167941250622,96.11127990639403,96.01269627838724
2024,96.55280526986056,97.16984181368018,97.81823118345605,98.21127279544383,98.37967302558003,98.41393487662502,98.53191200522332,98.61465760774706,98.77788623772553,98.89521691630412,98.83994543961833,98.87614664072248
2025,99.54392951108984,100.0,,,,,,,,,,
